National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Rubilande,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Rubin Tairovsky,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
Rubinovy Magaracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Rubired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4153,,,4153
Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
Ruby Cabernet,,,,2424,,,,,,,,,,,,,,,,,,,,,,,,,2050,22,,,,2895,,28,7419
Ruby Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Ruche,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,46
Rufete,,,,,,,,,,,,,,,,,,,,,,,2338,,,,,,,1059,,,,,,,3397
Sacy,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,63
Sagrantino,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,351
Saint Macaire,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Saint-Pierre Dore,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,320,,244,572
San Giuseppe Nero,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,,,348
San Lunardo,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,22
San Martino,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,44
San Michele,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,120
Sangiovese,,2491,,372,,,,,123,,,,1564,,,,,62761,,,,,,,,,,,35,,,842,,682,,8,68877
Sankt Laurent,,,,,415,,,,,,,1020,,,,,,,,,,,,,,,935,,,,,,,,,,2370
Santa Maria,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,15
Saperavi,,,,,,,,,,,,,,3704,,,,,,716,,,,,931,,,,,,,,,,,1356,6707
Saperavi Severny,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,25
Sauvignon Blanc,,827,,2602,314,140,405,148,6662,,,,20933,,,158,324,3312,,8151,,2423,,4613,,,,1221,5436,467,38,,,4191,142,2383,64889
Sauvignon Gris,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,44
Sauvignon Rose,,,,,,,,,7,,,,19,,,,,,,,,,,,,,,,,,,,,,,,26
Sauvignonasse,,798,,,,,,,132,,,,,,,,,4517,,,,,,,,,,,,,,,,47,,,5494
Savagnin Blanc,,,,,,,,,,,,,413,,,,,,,,,,,,,,,,,,17,,,,,,430
Savagnin Rose,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,35
Savatiano,,,,,,,,,,,,,,,,12747,,,,,,,,,,,,,,,,,,,,,12747
Scheurebe,,,,,529,,,,,,,,,,3126,,,,,,,,,,,,,,,,,,,,,,3655
Schiava,,,,,,,,,,,,,,,,,,1231,,,,,,,,,,,,,,,,,,,1231
Schiava Gentile,,,,,,,,,,,,,,,,,,1158,,,,,,,,,,,,,,,,,,,1158
Schiava Grigia,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,79
Schiava Grossa,,,,,,,,,,,,,,,,,,1259,,,,,,,,,,,,,,,,,,,1259
Schioppettino,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,93
Schonburger,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,39
Sciaglin,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
Sciascinoso,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,253
Seara Nova,,,,,,,,,,,,,,,,,,,,,,,1213,,,,,,,,,,,,,,1213
Segalin,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,54
Seibel,,,,,,1967,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,1991
Seibel White,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15
Seinoir,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15
Select,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
Semebat,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Semidano,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,48
Semillon,,1028,,6528,,384,,,1893,,,,14015,,,21,,8,,,,229,,,,,,,1029,,3,,,709,,382,26230
Sercial,,,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,,,306
Servanin,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Servant,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,432,,,,,,,,530
Seyval Blanc,,,,,,,,132,,,,,4,,,,,,,,,,,,,,,,,,2,,85,166,,,389
Sgavetta,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,61
Shiroka Melnishka,,,,,,,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3804
Siegerrebe,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,167
Silcher,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7
Silvaner,,,,,53,,,,,,,,1934,,,,1619,112,1,98,,4,,,,,156,,,0,208,,,,,,4185
Siria,,,,,,,,,,,,,,,,,,,,,,,1682,,,,,,,1109,,,,,,,2791
Sirio,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,23
Soperga,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,32
Stavroto,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,104
Sugra Five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,118
Sukholimanskiy Bely,,,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,,,,,,1032,1631
Sultaniye,,2229,,10298,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1820,14351
Sumoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,1401
Superior Seedless,,2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2842
Susumaniello,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,62
Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,184
Syrah,1510,7915,,29295,,,,,2040,,,,50676,,,39,,1025,,,,60,,,,,,,5631,86,54,337,,1509,62,1278,101516
Tamarez,,,,,,,,,,,,,,,,,,,,,,,585,,,,,,,,,,,,,,585
Taminga,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Tannat,,136,,,,182,,,,,,,2760,,,,,44,,,,,,,,,,,1,,,,,,2433,,5557
Tarrango,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
Tavkveri,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,29
Taylor,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Tazzelenghe,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,68
Teinturier,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Telti Kyryk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,172
Tempranillo,,4335,,41,,,,,1,,,,1549,,,,,7,,,,,7356,,,,,,14,79310,,,,201,,171,92985
Teneron,,,,,,,,,,,,,,,,,,,,,3488,,,,,,,,,,,,,,,,3488
Teoulier Noir,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Teroldego,,,,,,,,,,,,,,,,,,682,,,,,,,,,,,,,,,,,,,682
Terrano,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,194
Terrantez,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,27
Terras 20,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13
Terret Blanc,,,,,,,,,,,,,2703,,,,,,,,,,,,,,,,,,,,,,,,2703
Terret Gris,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,262
Terret Noir,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,370
Therona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,185
Tibouren,,,,,,,,,,,,,457,,,,,,,,,,,,,,,,,,,,,,,,457
Timorasso,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19
Tinta Barroca,,,,,,,,,,,,,,,,,,,,,,,5657,,,,,,395,,,,,,,,6052
Tinta Carvalha,,,,,,,,,,,,,,,,,,,,,,,1920,,,,,,,,,,,,,,1920
Tinto Basto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331,,,,,,,2331
Tinto Cao,,,,,,,,,,,,,,,,,,,,,,,556,,,,,,,,,,,,,,556
Tinto de la Pampana Blanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726,,,,,,,4726
Tinto de Zafra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Tinto Jeroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Tinto Velasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272,,,,,,,3272
Torbato,,,,,,,,,,,,,29,,,,,139,,,,,,,,,,,,,,,,,,,168
Torrontes Riojano,,8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8187
Torrontes Sanjuanino,,3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3166
Tortosina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,930
Touriga Franca,,,,,,,,,,,,,,,,,,,,,,,6671,,,,,,2,,,,,,,,6674
Touriga Nacional,,,,73,,,,,,,,,,,,,,,,,,,4149,,,,,,41,,,,,,,,4263
Trajadura,,,,,,,,,,,,,,,,,,,,,,,1788,,,,,,,628,,,,,,,2416
Traminette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5
Trebbiano,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685
Trebbiano d'Abruzzo,,,,,,,,,,,,,,,,,,8435,,,,,,,,,,,,,,,,,,,8435
Trebbiano Giallo,,,,,,,,,,,,,,,,,,3984,,,,,,,,,,,,,,,,,,,3984
Trebbiano Modenese,,,,,,,,,,,,,,,,,,583,,,,,,,,,,,,,,,,,,,583
Trebbiano Romagnolo,,,,,,,,,,,,,,,,,,19492,,,,,,,,,,,,,,,,,,,19492
Trebbiano Spoletino,,,,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,,242
Trebbiano Toscano,,2846,,,,688,1821,,,,,,90341,,,720,,39447,,,,,382,,,,,,147,28,,,,151,,,136572
Trepat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763,,,,,,,1763
Tressot,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Trevisana Nera,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,33
Tribidrag,,,,,,,,,91,,,,1,,,,,7828,,,,,,,,,,,28,,,337,,18630,,,26915
Trincadeira,,,,,,,,,,,,,,,,,,,,,,,7264,,,,,,1,,,,,,,,7265
Trincadeira das Pratas,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,216
Trobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,83
Trousseau,,,,,,,,,,,,,126,,,,,,,,,,1754,,,,,,,240,,,,,,,2120
Trousseau Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,28
Tsitska,,,,,,,,,,,,,,2839,,,,,,,,,,,,,,,,,,,,,,,2839
Tsolikouri,,,,,,,,,,,,,,6161,,,,,,,,,,,,,,,,,,,,,,,6161
Tsulukidzis Tetra,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,152
Ucelut,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10
Uni Blan,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,26
Usakhelouri,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,8
Uva Cao,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,33
Uva Rara,,,,,,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,570
Uva Tosca,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,84
Valais Noir,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
Valdiguie,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,79
Valenci Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
Valentino Nero,,,,,,,,,,,,,0,,,,,56,,,,,,,,,,,,,,,,,,,56
Valerien,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Varousset,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12
Vasilaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Vega,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,27
Ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,39
Verdea,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,107
Verdeca,,,,,,,,,,,,,,,,,,2208,,,,,,,,,,,,,,,,,,,2208
Verdejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4453,,,,,,,4453
Verdelho,,,,1293,,,,,,,,,,,,,,,,,,,343,,,,,,3,,,,,,,,1639
Verdelho Tinto,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Verdello,,,,,,,,,,,,,,,,,,662,,,,,,,,,,,,,,,,,,,662
Verdesse,,,,,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,8
Verdicchio Bianco,,,,,,,,,,,,,,,,,,5043,,,,,,,,,,,,,,,,,,,5043
Verdil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,131
Verdiso,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,71
Verdoncho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3092,,,,,,,3092
Verduschia,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,15
Verduzzo Friulano,,,,,,,,,,,,,,,,,,1592,,,,,,,,,,,,,,,,,,,1592
Verduzzo Trevigiano,,,,,,,,,,,,,,,,,,1657,,,,,,,,,,,,,,,,,,,1657
Vermentino,,,,,,,,,,,,,2634,,,,,3201,,,,,,,,,,,,,,,,,,,5835
Vermentino Nero,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,143
Vernaccia di Oristano,,,,,,,,,,,,,,,,,,565,,,,,,,,,,,,,,,,,,,565
Vernaccia di San Gimignano,,,,,,,,,,,,,,,,,,854,,,,,,,,,,,,,,,,,,,854
Vertzami,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,491
Vespaiola,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,105
Vespolina,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,103
Vidal,,,,,,,,514,,,,,0,,,,,,,,,,,,,,,,,,,,,97,,,611
Vidal Red,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Vien de Nus,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,25
Vignoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,68
Vijariego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,510
Vilana,,,,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,506
Vilana(Red),,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,60
Villard Blanc,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,7,,,,,,,,746
Villard Noir,,,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,601
Vineti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Vinhao,,,,,,,,,,,,,,,,,,,,,,,5296,,,,,,36,590,,,,15,,,5937
Viognier,,151,,117,,,,,128,,,,2360,,,,,27,,,,,,,,,,,50,1,,,,314,,12,3160
Viorica,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40
Viosinho,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,17
Vital,,,,,,,,,,,,,,,,,,,,,,,2246,,,,,,,,,,,,,,2246
Vitovska,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,42
Voskeat,,,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809
Vuillermin,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Weldra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,54
Xarello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10288,,,,,,,10288
Xarello Rosado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10
Xinomavro,,,,,,,,,,,,,,,,1816,,,,,,,,,,,,,,,,,,,,,1816
Xinomavro (White),,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
Xynisteri,,,,,,,,,,,2742,,,,,,,,,,,,,,,,,,,,,,,,,,2742
Yaqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,22
Zalagyongye,,,,,,,,,,,,,,,,,2550,,,,,,,,1781,,,,,,,,,,,,4330
Zalema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5969,,,,,,,5969
Zenit,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,405
Zierfandler,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Zoumiatiko Red,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,22
Zweigelt,,,,,4350,,,,,,,453,,,,,2266,,,,,,,,,,,,,,,,,,,161,7230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"636662,37",,,,,,,,,,,,,,,,,,,
