National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Biborkadarka,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,202
Bical,,,,,,,,,,,,,,,,,,,,,,,912,,,,,,,,,,,,,,912
Black Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,340
Blanc Dame,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Blanca Ovoide,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
Blanqueiro,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Blauburger,,,,,884,,,,,,,,,,,,,,,,,13,,,,,,,,,,,105,,,,1002
Blauer Portugieser,,,,,2358,,,,,,,340,232,,,,1255,94,,,,,,,,,,,,,,,,,,,4278
Blauer Wildbacher,,,,,464,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,472
Blaufrankisch,,,,,2641,,,,,1189,,680,,,,,6920,111,,,,,,,,,1091,,,,,,,45,,203,12879
Blush Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10
Bobal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100128,,,,,,,100128
Bogazkere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,773
Boiziau,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Bombino Bianco,,,,,,,,,,,,,,,,,,2893,,,,,,,,,,,,,,,,,,,2893
Bombino Nero,,,,,,,,,,,,,,,,,,1156,,,,,,,,,,,,,,,,,,,1156
Bonamico,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,83
Bonarda Grande,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,538
Bonda,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
Bondola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,17
Bordo,,,,,,3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3379
Borracal,,,,,,,,,,,,,,,,,,,,,,,2035,,,,,,,619,,,,,,,2654
Bosco,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,88
Bouchales,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,108
Bouillet,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Bourboulenc,,,,,,,,,,,,,772,,,,,,,,,,,,,,,,,0,,,,,,,772
Bousquet Precoce,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16
Bouvier,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365
Bracciola Nera,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,89
Brachetto del Piemonte,,,,,,,,,,,,,,,,,,1534,,,,,,,,,,,,,,,,,,,1534
Braquet Noir,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
Breidecker,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,28
Bric,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,21
Brocada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Brun Argente,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,14
Bukettraube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,280
Burdin,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Bussanello,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8
Cabernet Dorsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,43
Cabernet Franc,,207,,744,27,405,,567,689,,,,36094,,,40,526,6639,,,,118,,,,,,,488,30,16,,,1189,364,409,48551
Cabernet Malbec,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,34
Cabernet Sauvignon,1510,12199,,24997,312,587,10441,569,35967,,,,53413,223,,688,1052,7682,,7590,,654,318,8620,1578,,156,,8824,4519,34,337,,17573,675,20373,220890
Caddiu,,,,,,,,,,,,,,,,,,978,,,,,,,,,,,,,,,,,,,978
Caino Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,69
Caladoc,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,,,,,,,,,,1427
Calagrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8229,,,,,,,8229
Calitor Blanc,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
Calitor Gris,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Calitor Noir,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,75
Calkarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,436
Callet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,151
Caloria,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,129
Camaralet de Lasseube,,,,,,,,,,,,,0,,,,,,,,,,690,,,,,,,,,,,,,,691
Campbell Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43
Canada Muscat,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
Canaiolo Nero,,,,,,,,,,,,,,,,,,2304,,,,,,,,,,,,,,,,,,,2304
Canaiolo Rosa,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,114
Canorroyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,157
Caracol,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,14
Cardinal,,,,,,,3035,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,154,3190
Carica l'Asino,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,,299
Carignan Blanc,,,,,,,,,,,,,976,,,,,,,,,,,,,,,,,58,,,,,,,1035
Carignan Bouschet,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16
Carignan Gris,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,25
Carmenere,,,,,,,,,4719,,,,5,,,,,43,,,,,,,,,,,,,,,,,,945,5711
Carmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10
Carnelian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,625
Carricante,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,252
Cartouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,31
Castel,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Castelao,,,,,,,,,,,,,,,,,,,,,,,14424,,,,,,,,,,,,,,14424
Castets,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Castiglione,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,83
Castonotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Catanese Nero,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,76
Catarratto Bianco,,,,,,,,,,,,,,,,,,50711,,,,,,,,,,,,,,,,,,,50711
Catawba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,,,635
Cavus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
Cayetana Blanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55502,,,,,,,55502
Cayuga White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,108
Centenial Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Centurian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,134
Cep Rouge,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Cerceal Branco,,,,,,,,,,,,,,,,,,,,,,,597,,,,,,,,,,,,,,597
Cereza,,31666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31666
Cesanese,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,1024
Cesar,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
Chambourcin,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,28,,,257
Chancellor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,27
Chardonnay,,4625,,17266,,330,1862,973,7672,,,567,36496,,531,36,2954,11687,8,5134,,2787,,1376,1639,,623,1549,6067,1814,226,,68,35791,142,3120,145344
