National winegrape bearing area (hectares) in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of plantin,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Japan,Kazakhstan,Luxembourg,Mexico,Moldova,Morocco,Myanmar,New Zealand,Peru,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Thailand,Tunisia,Turkey,Ukraine,United Kingdom,United States ,Uruguay
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,CHN,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,JPN,KAZ,LUX,MEX,MDA,MAR,MMR,NZL,PER,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,THA,TUN,TUR,UKR,GBR,USA,URY
Camaralet de Lasseube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,,,,,,,,,,,,,,,
Campanario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Campbell Early,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,
Canadice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Canaiolo Nero,,,,,,,,,,,,,,,,,,,1068,,,,,,,,,,,,,,,,,,,,,,,,,
Canaiolo Rosa,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Canari Noir,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Canela,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canelon,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capolongo,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Caracol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,
Caramela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cardinal,,,,,,,,,,,91,,,217,,,,,,,,,168,,,,,53,,,,,,,,16,,,,,,,,
Carica l'Asino,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Carignan Blanc,,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,2650,,,,,,,,
Carmenere,,56,,,,7,,2,8827,1353,19,,,,,,,0,1074,,,,,,,,,,,,,,,,,,,,,,,,22,
Carminoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Carnelian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,
Carrega Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,,,,,,,,,,,,,,,
Carrega Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Carricante,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,
Casavecchia,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,
Casculho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,,,,,,,,,,,,,,
