National winegrape bearing area (hectares) in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of plantin,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Japan,Kazakhstan,Luxembourg,Mexico,Moldova,Morocco,Myanmar,New Zealand,Peru,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Thailand,Tunisia,Turkey,Ukraine,United Kingdom,United States ,Uruguay
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,CHN,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,JPN,KAZ,LUX,MEX,MDA,MAR,MMR,NZL,PER,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,THA,TUN,TUR,UKR,GBR,USA,URY
Rondinella,,2,,,,0,,,,,,,,,,,,,2479,,,,,,,,,,,,,,,,,,,,,,,,,
Rondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
Roobernet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,
Rosa Arica,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rosciola Rose,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Rossara Trentina,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Rossese,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,,
Rossese Bianco,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Rossignola,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,
Rossola Nera,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,
Rotberger,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roter Veltliner,,,,,193,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotgipfler,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rougeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,
Roussanne,,,,83,,,,5,6,,,,,1352,,,,,110,,,,,,,,2,,,,,,,,45,,,,,,,,140,3
Roussin,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Roviello Bianco,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Roxo de Vila Flor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Roxo Rei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Royal de Alloza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
Royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,
Rozala Bianca,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozsakoe,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Rual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Rubea,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubin Golodrigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,
Rubin Tairovsky,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Rubinovy Magaracha,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Rubintos,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4556,
Ruby,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
Ruby Cabernet,,6,,962,,42,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,2220,29,,,,,,,2431,2
Ruche,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Rufete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4183,,,,,,,650,,,,,,,,
Ruggine,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
S. Mamede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
S.V. 23-512,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabrevois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Sagrantino,,,,,,,,,,,,,,,,,,1,994,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Jeannet,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,1,,,,,,,43,
Samarrinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
San Giuseppe Nero,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,
San Lunardo,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
San Martino,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
San Michele,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,
Sanforte,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sangiovese,,2011,,589,,26,,3,100,,,,,1589,,,,1,71619,,,,,,,,6,,,,,,,,61,,,2,842,9,,,852,
Sankt Laurent,,,,,775,,,0,,,,,1291,,,,,1,,,,,,,,,,,,,,,939,,,,,,,,,,,
Santa Maria,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Santarena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,,,,,,,,,,,,,,,
Santoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Sao Saul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Saperavi,,,,,,,,,,,,,,,4751,,,,,,428,,,716,,,,,,,716,,,,,,,,,,1514,,,
Saperavi Severny,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,325,,,,,,,,,,,,,
Sauvignon Blanc,,2296,,6467,845,45,,320,12159,1,249,,804,26839,,460,256,907,3744,,,,120,8151,,22,16205,,171,4157,951,,208,1061,9551,4011,134,,,146,3123,3,6584,147
Sauvignon Gris,,6,,,,0,,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,8
Sauvignonasse,,515,,,,,,,785,,,,,,,,,,2911,,,,,,,,,,,,,,,190,,,,,,,,,47,
Savagnin Blanc,,20,,94,,,,1,,,18,,,481,,,,772,,,,,,,,,,,,,214,,,215,,,83,,,,,,,
Savatiano,,,,,,,,,,,,,,,,,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheurebe,,,,,376,,,,,,,,,,,1600,,0,,,,,,,,,1,,,,,,,,,,5,,,,,2,,
Schiava,,,,,,,,,,,,,,,,,,,517,,,,,,,,,,,,,,,,,,,,,,,,,
Schiava Gentile,,,,,,,,,,,,,,,,,,,694,,,,,,,,,,,,,,,,,,,,,,,,,
Schiava Grigia,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
Schiava Grossa,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,
Schioppettino,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,
Schonburger,,,,,,1,,11,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,37,,
Sciaglin,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Sciascinoso,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,
Scimiscia,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Seara Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,,,,,,,,,,,,,,,
Seibel,,,,,,581,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Semidano,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,
Semillon,,855,,6112,,24,,19,846,1,,,,11693,,,8,58,31,,,,,,,,201,,89,,25,,,,1182,,5,,,547,,,436,24
Sennen,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Serbina,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Sercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,
Sercialinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Serna,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,
Sevilhao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Seyval Blanc,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,85,259,
Sgavetta,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,
Shiroka Melnishka,,,,,,,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siegerrebe,,,,,,,,18,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Silvaner,,3,,,42,0,,0,,,139,,122,1399,,,0,8,80,,,,,98,,,4,,,,,,117,,,,241,,,,,,,
Siria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7145,,,,,,,753,,,,,,,,
Sirio,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Skrlet,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slankamenka,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,7,,
Soperga,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
Sovereign Opal,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spergola,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
St Croix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
St Pepin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
St Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,
Stavroto,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stepnyak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,
Steuben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,
Storgozia,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugra Five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Sukholimanskiy Bely,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,80,,,,,,,,,,1477,,,
Sultaniye,,,,430,,,,,,,,371,,,,,,,,,,,841,,,,,15,,,,,,,,,,,,1750,,,,
Sumoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,
Superior Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Suscan,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susumaniello,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
Swenson Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,
Syrah,1510,12810,,42675,137,,,274,6027,223,187,244,,68587,,,641,177,6739,,,,145,,,27,293,2,3501,,,,,,10136,20000,181,66,337,1367,,,9197,87
Szeremi Zold,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Taltos,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,
Tannat,,705,,,,295,,,2,,,,,2914,,,,1,55,,,,,,,,,,10,,,,,,67,,,,,,,,75,1815
Tarrango,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavkveri,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tazzelenghe,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,
Teinturier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Telti Kyryk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,
Tempranillo,,6120,,476,,16,,6,48,,,,,766,,,19,,23,,,,229,,,3,7,,16706,,,,,,38,207677,,4,,9,,,414,
Tempranillo Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
Teneron,,,,,,,,,,,,,,,,,,,,,,,,,3488,,,,,,,,,,,,,,,,,,,
Termarina Rossa,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
Teroldego,,,,,,10,,,,,,,,,,,,,796,,,,,,,,,,,,,,,,,,,,,,,,32,
Terrano,,,,,,,,,,,228,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,
Terrantez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Terrantez do Pico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Terret Blanc,,,,,,,,,,,,,,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,
Thrapsathiri,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibouren,,,,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timorasso,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,
Tinta Aguiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
Tinta Barroca,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,5939,,,,,,231,,,,,,,,,
Tinta Bragao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,
Tinta Carvalha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,,,,,,,,,,,,,,,
Tinta da Barca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,
Tinta da Melra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tinta de Alcoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
Tinta de Cidadelhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tinta de Pegoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,
Tinta de Porto Santo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Tinta do Rodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Tinta Engomada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Tinta Francisca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,
Tinta Malandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Tinta Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Tinta Mesquita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tinta Penajoia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,
Tinta Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tinta Pomar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
Tinta Roseira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Tinta Valdosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tinta Varejoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tintem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Tintilia Del Molise,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,
Tinto Basto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,
Tinto Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,,,,,,,,,,,,
Tinto de la Pampana Blanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145,,,,,,,,
Tinto de Zafra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Tinto do Aurelio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Tinto Velasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,,,,,,,,
Torbato,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
Torrontes Mendocino,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrontes Riojano,,7683,,,,,,,425,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Torrontes Sanjuanino,,2048,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortosina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,,,,,,,,
Touriga Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
Touriga Femea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Touriga Franca,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11582,,,,,,3,,,,,,,,,
Touriga Nacional,,14,,48,,12,,,0,,,,,,,,,,,,,,,,,,,,10175,,,,,,101,,,,,,,,85,
Trajadura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171,,,,,,,998,,,,,,,,
Traminette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,
Trbljan,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbianina,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbiano,,,,86,,149,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Trebbiano d'Abruzzo,,,,,,,,,,,,,,,,,,,5091,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbiano Giallo,,,,,,,,,,,,,,,,,,,10609,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbiano Modenese,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbiano Romagnolo,,,,,,,,,,,,,,,,,,,15893,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbiano Spoletino,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
Trebbiano Toscano,,1922,,,,,723,,,,210,,,83892,,,297,,21501,,,,,,,,,,212,,66,,,,74,45,,,,,,,80,751
Trepat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358,,,,,,,,
Trevisana Nera,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Tribidrag,,0,,149,,0,,8,58,,65,,,,,,,,12234,,,,,,,,4,,,,,,,,34,,,,337,,,,19857,
Trilla,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Trincadeira,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9246,,,,,,24,,,,,,,,,
Trincadeira das Pratas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,
Trincadeiro Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,
Triomphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
Triplett Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,
Triunfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Trnjak,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Tronto,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Trousseau,,36,,,,,,,,,,,,172,,,,,,,,,,,,,,,3149,,,,,,,75,,,,,,,,
Tsimlyansky Cherny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,
Tsitska,,,,,,,,,,,,,,,3642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsolikouri,,,,,,,,,,,,,,,7903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsulukidzis Tetra,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsvetochny (Floral),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,
Tsvetochny (Flowery),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,
Turan,,,,,,,,2,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,
Turchetta,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Ucelut,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Uni Blan,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urreti,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Usakhelouri,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uva Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Uva del Fantini,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Uva del Tunde,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Uva Longanesi,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,
Uva Rara,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,
Uva Tosca,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalino,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Valbom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,
Valdiguie,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,
Valenci Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
Valentino Nero,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
Valiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Valveirinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Valvin Muscat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Vasilaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Vega,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
Venus,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdea,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,
Verdealbara,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Verdeca,,,,,,,,,,,,,,,,,0,,795,,,,,,,,,,,,,,,,,,,,,,,,,
Verdejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16578,,,,,,,,
Verdelet,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdelho,,16,,1535,,1,,,,,,,,,,,,,,,,,,,,,5,,397,,,,,,25,,,,,,,,26,
Verdelho Roxo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Verdelho Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
Verdello,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,
Verdesse,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Verdial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Verdial Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Verdicchio Bianco,,2,,,,4,,,,,,,,,,,,,3526,,,,,,,,,,,,,,,,,,,,,,,,,
Verdil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,
Verdiso,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,
Verdoncho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124,,,,,,,,
Verduschia,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Verduzzo Friulano,,5,,,,,,,,,,,,,,,,,808,,,,,,,,,,,,,,,,,,,,,,,,,
Verduzzo Trevigiano,,,,,,,,,,,,,,,,,,,708,,,,,,,,,,,,,,,,,,,,,,,,,
Vermentino,,2,,,,0,,,,,,,,3569,,,,,5046,,,,,,,,,,,,,,,,,,,,,,,,,
Vermentino Nero,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,
Vernaccia di Oristano,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,
Vernaccia di San Gimignano,,,,,,,,,,,,,,,,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,
