"Commune","Cave coopérative","Qté tot livrée à la cave coop (hl)","Part Vins AOP rouge/rosé livrée (%)","Part Vins AOP blanc livrée (%)","Part Vins IGP rouge/rosé livrée (%)","Part Vins IGP blanc livrée (%)","Part Vins sans IG et autres rouge/rosé livrée (%)","Part Vins sans IG et autres blanc livrée (%)","code"
"11- PUICHERIC","11-SCA LE PROGRES - PUICHERIC","15042","7.3","0","81.8","7.8","2.1","1.1","11"
"13- LANCON-PROVENCE","13-COOPERATIVE LANCON","5201","62","0","37.1","0","1","0","13"
"13-LA FARE-LES-OLIVIERS","13-VIGNERONS DU CASTELLAS","13323","46.1","0.9","51.4","1.4","0.2","0","13"
"13- PUYLOUBIER","13-COOPERATIVE MONT STE VICTOIRE","32756","90.6","1.1","8.2","0","0.1","0","13"
"13- ROQUEFORT-LA-BEDOULE","13-COOPERATIVE ROQUEFORT LA B","2659","65.9","10","21.1","1.7","1.3","0","13"
"13- LAMBESC","13-COOPERATIVE LAMBESC","32698","66.7","1.6","29.4","2.2","0.1","0","13"
"13- BERRE-L'ETANG","13-COOPERATIVE BERRE L'ETANG","25302","35","0.6","62","2.3","0.1","0","13"
"13- EGUILLES","13-COOPERATIVE EGUILLES","10890","75.2","2.9","20.6","1.3","0","0","13"
"13- PELISSANNE","13-COOPERATIVE PELISSANNE","2405","45.7","0","51.7","2.7","0","0","13"
"13- ROUSSET","13-COOPERATIVE ROUSSET","13735","93","0.6","5.3","1","0.1","0","13"
"13- AIX-EN-PROVENCE","13-COOPERATIVE DES GRANETTES","5519","55","1.6","41.7","1.2","0.5","0","13"
"13- AURIOL","13-COOPERATIVE AURIOL LA CIOTAT","7960","14.3","1","73.4","4","5.1","2.2","13"
"13- ROGNES","13-COOPERATIVE ROGNES","16546","79.1","2.1","17.2","1.7","0","0","13"
"13- NOVES","13-SCA CELLIER DE LAURE","4492","0","0","82.3","11.5","6.2","0","13"
"13- VENELLES","13-COOPERATIVE VENELLES","14534","71.6","3.3","24.7","0.4","0","0","13"
"13- MARTIGUES","13-COOPERATIVE MARTIGUES","8094","66.9","3.6","24.7","3.5","1.3","0.1","13"
"13- SENAS","13-COOPERATIVE SENAS","20125","62.7","0.1","36.1","1.2","0","0","13"
"13- TRETS","13-CELLIER LOU BASSAQUET TRETS","26394","74.3","0.8","23.6","1.3","0","0","13"
"16- BROSSAC","16-CAVE COOP DE BROSSAC","188","0","0","0","0","0","100","16"
"16- COGNAC","16-CHARENTE ALLIANCE COOPERATIVE","9781","2.9","0.2","40.3","23.4","0.6","32.5","16"
"16- MONTMOREAU-SAINT-CYBARD","16-CAVE COOP DU MONTMORELIEN","305","0","0","0","0","9.7","90.3","16"
"16- COGNAC","16-UNION COOPERATIVE VITICULTEURS","4047","48.8","51.2","0","0","0","0","16"
"17- SAINT-PIERRE-D'OLERON","17-VITI OLERON","25475","2.1","3.6","11.5","4.7","0.2","77.9","17"
"17-LE BOIS-PLAGE-EN-RE","17-UNIRE STE COOP. AGRICOLE","29732","2.5","2.7","25.2","11.1","0.1","58.4","17"
"17- SIECQ","17-VIGNERONS BIO CHARENTES COOP","115","0","0","55.7","44.3","0","0","17"
"18- SANCERRE","18-CAVE COOP DES VINS DE SANCERRE","5946","16.9","83.1","0","0","0","0","18"
"18- QUINCY","18-SICA VIGNERONS DUC DE BERRY","1789","0","97.5","0","0","2.5","0","18"
"21- BEAUNE","21-CAVE DES HAUTES COTES","20570","54.8","45","0.1","0.1","0","0","21"
"24-LE FLEIX","24-SCA ALLIANCE AQUITAINE","47217","74","23.6","1.1","0.5","0.2","0.6","24"
"24- MESCOULES","24-CAVE DE SIGOULES","35087","55.1","38.6","2.2","3.5","0.4","0.2","24"
"24- MONBAZILLAC","24-CAVE DE MONBAZILLAC","23160","21.4","78.6","0","0","0","0","24"
"24- PORT-SAINTE-FOY-ET-PONCHAPT","24-CAVE PORT STE FOY ET PONCHAPT","14609","50.8","32.8","13.7","1.1","0","1.5","24"
"24- FLORIMONT-GAUMIER","24-SCA VIGNERONS COTEAUX DU CEOU","470","0","0","98.9","1.1","0","0","24"
"26- DIE","26-CAVE VINICOLE CLAIRETTE DE DIE","65095","1","97.6","0","1.1","0.3","0","26"
"26- SAINT-MAURICE-SUR-EYGUES","26-CAVE DES COTEAUX","25396","71.2","2.5","20.3","6","0","0","26"
"26- NYONS","26-CAVE DU NYONSAIS","47837","70.2","1.1","26.2","2.4","0","0","26"
"26- ROCHEGUDE","26-CAVE DES VIGNERONS","50418","74.1","3.6","17.7","4.5","0.1","0","26"
"26- BEAUMONT-MONTEUX","26-CAVE DES CLAIRMONTS","5399","80.6","2.8","12.2","4.4","0","0","26"
"26- SAINT-PANTALEON-LES-VIGNES","26-CAVE DE ST PANTALEON","35175","73.6","0.8","19.6","5.3","0.7","0","26"
"26- TAIN-L'HERMITAGE","26-CAVE DE VINS FINS","42398","79.7","6.7","11.7","1.8","0.1","0","26"
"26- TULETTE","26-CAVE COSTEBELLE","66030","84.3","2.6","12","1.2","0","0","26"
"26- VINSOBRES","26-CAVE LA VINSOBRAISE","76201","83.1","1.3","14.2","1.4","0","0","26"
"26- SUZE-LA-ROUSSE","26-CAVE LA SUZIENNE","57063","82.9","5.1","10.3","1.7","0","0","26"
"30- VERS-PONT-DU-GARD","30-CAVE COOP DE VERS PONT DU GARD","20931","0","0","75.5","15.2","4.5","4.8","30"
"30- CANAULES-ET-ARGENTIERES","30-CANAULES CAVE COOPERATIVE","14189","0","0","91.1","8.9","0","0","30"
"30- SAINT-QUENTIN-LA-POTERIE","30-CAVE COOP ST QUENTIN LA POT","21524","0","0","65.7","32.6","1.6","0","30"
"30- QUISSAC","30-QUISSAC CAVE COOPERATIVE","29899","0.5","0","69.1","11.5","17.2","1.7","30"
"30- SABRAN","30-CAVE COOP DE SABRAN MEGIER","9367","81.1","7.7","11.2","0","0","0","30"
