Nom_com,Num_com,Viniféra de table,Miscat de hambourg,Chasselas blanc,Chasselas rose,Viniféra divers de cuve,Madeleine royale,Alicantes Bouschet,Aligoté,Altesse,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,mondeuse blanche,Mondeuse noire,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Cesarches,73061,,,553,,,,678,,,,,,,,,,,,337,,,,,,1381,,,,,20338,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,6130,,,,743,,,,,,,35,168,35,14769,,,,,1123,,,,,,,46790
Cessens,73062,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5954,,,,,,,,,,,,6104
Cevins,73063,,,,,551,,2433,,,,,,,,,,,,,,,1685,,,6716,,,,,47967,,,,,,,,,,,,3697,,,,,150,,,,,,,80,,,,,,995,,,,500,,,,,,200,629,,200,26879,1897,,,,330,,,,2145,,2618,99672
Challes les eaux,73064,,,,,,,4008,,,,,,,,,,,,836,,,2917,,,116731,,,,,17160,,,,,,,,,,,,38837,,900,,,,,,,,,,1540,,,,,,11190,,,,460,,,,,430,6254,734,,,32340,1479,,,,11683,4487,170,,792,,29724,282672
Chambery,73065,,,1546,,618,,7906,250,400,,,,,,5090,,,,10469,,450,34536,,,104052,,3765,,,2750,,,,,500,1285,,,225,,,144061,1060,12579,,,,2260,,,810,,,37022,,,,,,82702,,,,1665,,,,,,612,4709,,3439,99311,3140,,,,2651,600,,,120,,21895,592478
La chambre,73067,,,,,,,153,,,,,,,,,,,,153,,,153,,,500,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,64147,65412
Chamousset,73068,,,,,180,,,,,,,,,,,,,,,,,,,,1980,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5881,,,,,1897,,,,,,65750,76088
Chamoux su gelon,73069,,,,,,,7683,,,,,,,,,,,,1156,,440,,,,6838,,,,,1806,,,,,143,,105,,,,,15221,,,,,,,,,,,,1302,,,,,,1136,,,,,,,,,,3607,,,,118227,1518,,,,1704,190,,,2594,1290,130123,295083
Champagneux,73070,,,1132,,,,,,4739,,,,,,670,,570,,10029,,,4955,,,10331,,324,,,17888,,,,,,,,,,,,369,,,,,,,,,1132,,,,,,,,4388,775,,,,,,,,570,16901,1116,9467,,326,156453,775,,,,4162,,,,,,38958,286030
Champ laurent,73072,,,,,,,360,,,,,,,,,,,,,,,263,,,505,,,,,1522,,,,,,,,,,,,3289,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,830,,,,,,672,,,240,,,8077
Chanaz,73073,,,,,1513,,,,,,,,,,100,,,,12025,,,,,,80797,,,,,25960,,,,,,,,,,,,27555,,,,,,,395,,,,,,,,,,,3640,,,,,,,,,,3185,532,,,30927,765,,,,,4175,,,,,5370,196939
La chapelle,73074,,,575,,2689,,7707,,,1037,,,,,,,,,1285,,,6409,,,1585,,,,,2777,,,,,239,,,,,,,195,,497,,,,213,,,,,,712,,,,,,,3652,,,357,607,,,,6992,4635,2886,,,41234,3923,,,,1828,918,,,3186,,30705,126843
La chapelle blanche,73075,,,,,,,1060,,,,,,,,,,,,,,,,,,138116,,,,,11122,,,,,,,,,,,,113837,,424,,,,,,,,,,8620,,,,,,,,,,,,,,,,,,,2052,943,,,,,,,,,,,,276174
La chapelle du mont du chat,73076,,,,,3109,,,70,4149,150,,,,,70,,,,451,,,,,,14478,,,,,19765,,,,,,,,,,,,23894,,,,,,222,600,,742,,,,,,,,,,,,,,,,,,220,,,,,5692,,,,,583,41,,,,,237,74473
La chapelle saint martin,73078,,,186,,4512,,1271,,,,,,,,,,,,7252,,,1350,,,9753,773,1270,,,14523,,,,,,,,,,,,27297,108,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,1050,,,33423,,,,,,,,,,,,105268
Chateauneuf,73079,,,570,,,,15658,,,,,,,,,,,,2908,,,17372,,,43355,,,,,30698,,,,,,,,,,,,108802,,700,,,,,,,,,,10033,,,,,,3775,,,,7398,,,,,,,,,,39976,1200,,,,,660,180,,,,1500,284785
Le chatel,73080,,,,,11458,,13932,,,884,,,,,,,,100,7907,75,,17222,,,6672,,,,,1544,,,,,194,26,,,,,,8168,1398,,,,,,,,,,,290,,,,,,8649,,,,7,212,,,1836,39,,,,158,18116,31,,,,187,,,,,,9608,108713
La chavanne,73082,,,,,,,6015,,,,,,,,,,,,215,,,1875,,,95011,,,,,600,,,,,,,,,,,,55658,874,,1027,,,,,,,,,4016,,,,,,3510,,,,310,,,,,700,,,,945,42424,1525,,,,4450,5965,,,200,,170,225490
Les chavanenes en maurienne,73083,,,,,584,,11300,,,,,,,,,,,,347,,,6664,,,280,,,,,960,,,,,72,,,,,,,274,433,,,,,,78,,,,,376,,,,,,,,,,,,,,,,,,,,6829,,,,,,,,,,,274,28471
Chignin,73084,,,,,,,,,1430,,,,,,,,150,,,,,982,,,947698,,,,,184554,,,,,,,,,,,,53018,,,,,,,,,,,,116,13462,,,,,,,,,,,,,,,,,,4897,75781,,,,,,,,,,,,1282088
Chindrieux,73085,,,390,,,,9510,22973,8780,,,,,,2100,,970,,141189,,,,600,,245360,,,4285,,110040,,,,,680,150,,2825,,,,44400,,,,,,,300,,10385,,,,,,,,,3933,,,,,,,525,,,,3190,,,60270,4215,,,,,1265,275,,200,,1600,680410
Cognin,73087,,,,,,,2180,,,,,,,,6020,,,,1560,,,2530,,,42080,,,,,9130,,,,,,500,,,,,,49500,5300,400,,,,850,,,,,,3230,,,,,,6260,,,,660,,,,,,,,,,27790,1780,,,,930,,,,,,2000,162700
Coise Saint jean pied gauthier,73089,,,,,440,,18095,,,,,1400,,,,,,,4850,1910,,34585,,,96821,,,,,4845,,,,,150,,,,,,3315,90953,706,,,,,,,,,,,16811,,,,,,,,,,5156,,,,,,480,680,,2218,115904,965,,,,2370,26090,,,800,,11760,441304
Conjux,73091,,,,,720,,2053,160,208,,,,,,,,231,,1599,,,,,,33092,,,,,4741,,,,,,,,,,,,35764,,,,,,,2352,,340,,,,,,,,,,,,,,,,,,,,,,,6126,375,,,,,170,,,,,2002,89933
La cote d'aime,73093,,,,,,,,,,,,,,,,,,,,,,818,,,,,,,,200,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,150,200,,,,3181,,,,,15893,600,,,,,,,,,,50027,71459
La croix de la rochette,73095,,,,,,,,,,,,,,,,,,,6242,,,559,,,18924,,,,,,,,,,,,,,,,,5643,,,,,,,,,,,,5127,,,,,,,,,,,,,,,,,,,,15984,,,,,,,,,,,,52479
Cruet,73096,,,1436,,1200,,14008,2070,9434,,,,,,,,3274,,9749,,,11884,,,274906,,,,,85238,,,,1554,5379,,,,2820,,7567,16553,,5070,857,,,,,,,,,2897,,,,,,1320,,,,,,,,,300,,,,440,24452,2080,,,,1528,17348,,,,,1818,505182
Curienne,73097,,,,,,,,,,,,,,,,,,,,,,240,,,112330,,,,,7591,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15893,,,,,,579,,,,,1975,139033
Detrier,73099,,,,,,,1121,,,,,,,,,,,,5049,,,282,,,11473,,,,,5438,,,,,,,,,,,,4452,,1539,1200,,,,,,,,,,,,,,,2245,,,,333,,,,,,,,,,4630,,,,,,601,,,,,,38363
Domessin,73100,,,,,,,1200,,710,,,,,,864,,,,340,,,,,,8999,,240,,,32482,,,,,,,,,,,,1440,,,,,,,,,,,,,,,,,,,1290,,,22694,2115,,,2345,45985,4020,2450,2100,1560,223064,11398,,,,22834,440,,,10120,,,398690
Doucy,73101,,,,,,,636,,,,,,,,,,,,614,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,,,,,,,,,,,409,2918
Drumettaz Clarafond,73103,,,,,,,1809,,,,,,,,,,,,19910,,,777,,,92282,,,,,41545,,,,,,,,,,,,78901,435,1273,,,,,,,598,,,1545,,352,,,,,,,,,,,,,,237,3882,,1010,37566,990,,,,1755,3875,,,,674,119920,409336
Dullin,73104,,,,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,4786,,,,,,666,,1637,,3444,,,,,696,,,,1451,,,14054
Les Echelles,73105,,,,,,,,,,200,,,,,,,,,,,,,,,2165,,,,,234,,,,,,,,,,,,460,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,800,200,,,,,,,,,,,5559
Entremont le vieux,73107,,,,,,,,,,,,,,,,,,,,,,,,,31037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31037
Epersy,73108,,,,,,,2438,770,,,,,,,100,,,,1449,,,,,,7049,,,,,439,,,,,,,,,,,,20555,,,,,,,,,470,,,379,,,,,,2535,136,,,,,,,,180,,,,,29804,272,,,,6374,585,,,98,,668,74301
Epierre,73109,,,,,4487,,200,,,,,,,,,,,,,,,1211,,,2220,,,,,806,,,,,,,,,,,,630,,,,,,,,,,,,815,,,,,,550,120,,,440,300,,,,1690,840,,,,26180,685,,,,1244,100,210,,2495,,1070,46293
Essert blay,73110,,,,,,,,,,,,,,,,,,,,,,,,,2722,,,,,17563,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,1550,120,,,,905,600,,60,,45136,80,,,,5575,,,,28951,,1116,104978
Etable,73111,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,200,,,,,44,,,,50,,,555
Feissons sur isère,73112,,,,,,,3393,,,214,,,,,,,,,,,,427,,,827,,,,,24127,,,,,,,,,,,,214,,,50,,,,,,,,,,,,,,,,,,,110,1249,,,,183,,1072,,469,39017,1959,,,,,,,,,326,3139,76776
Faissons sur salins,73113,,,,,,,500,,,449,,,,,,,,,200,,,1200,,,100,,,,,2152,,,,,,,,,,,,1732,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,198,,,,,7815,18018
Fontaine le puits,73115,,,,,,,1950,,,290,,,,,,,,,325,,,1752,,,,,,,,1893,,,,,,,,,,,,765,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,,,,,,2333,,,,,,11748
Fontcouverte,73116,,,,,,,11774,,,,,,,,,,,,,,,18327,,,430,,,,,,,,,,,,,,,,,3133,440,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,8356,,,,,,,,,,,41579,84739
Francin,73118,,,,,,,1796,,1100,,,,,,,,,,3147,,,485,,,92278,,,,,23144,,,,,1200,,,,,,8029,4727,,,,,,,,,,,,,1298,,,,,3121,875,,,1730,,,1000,,4080,1747,,,,94761,650,,,,11198,16674,,,400,,,273440
Freterive,73120,,,,,,,12561,700,,500,,,,,,,325,,8239,,,6981,,,52911,,,,,50166,140,,,,3555,50,,,330,,,6993,100,2030,80,,,,,,,,,650,,,,,,200,,,255,620,,,,,,,5019,,665,86160,30591,,7391,4350,,16364,,,50,,,297976
Frontenex,73121,,,367,,,,,,,,,,,,,,,,,,,,,,5460,,,,,4804,,,,,,,,,,,,6894,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,32045,140,,,,275,,,,,,690,51025
Gerbaix,73122,,,,,,,,,,,,,,,,,,,686,,,,,,,,,,,686,,,,,,,,,,,,841,,,,,,,,,,,,,,,,,,400,,,,1362,,,,,,1680,500,,,13131,400,,,,,,,,,,,19686
Gilly sur isère,73124,,,3464,,,,2150,,113,,,,,,,,270,,2030,,,,,,8922,,1434,,,35784,,,,,28,,,,,,,23254,325,,,,,,150,,,,,400,,,,,,1470,,,,4873,710,,,,852,1833,,,,94657,1915,,,,14754,1140,670,,7505,,10397,219100
Granier,73126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57024,57024
Gressin,73127,,,400,,600,,1440,2000,2780,,,,,1100,,,,,30020,,,12155,,,8435,,,,,38505,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,500,,900,980,,,1230,,,,,9080,160,1540,,,59535,15150,,,,,,,,,,1070,188580
Gresy sur aix,73128,,,922,,12650,,19760,1394,,,,,,,40,,,,1945,,160,2908,,,52905,,,,,26871,,,70,,,,,,,,,62690,,625,200,,,,,,,,,22708,,,,,,26032,,,,344,,,,,2804,100,370,1455,,116062,2067,,,,7782,5457,,480,1060,,22838,392699
Gresy sur isère,73129,,,,,450,,,,,,,,,,,,,,,,,230,,,7276,,,,,6687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58490,,,,,,,,,,,,,375,58903,2454,180,,,3115,5004,,,,,13122,156286
Grignon,73130,,,30,,,,102,,,,,,,,,,,,,,,,,,114,,,,,3748,,,,,,,,,,,,1580,,,,,,,60,,,,,,,,,,610,517,1094,,,10213,888,,,,2352,3649,,316,,39816,543,,,,26942,,6,,20855,,3059,116494
Hautecour,73131,,,20,,,,1778,,,88,,,,,,,,,115,,,1076,,,298,,,,,168,,,,,,,,,,,,385,340,,,,,,210,,,,,,,,,,,120,,,,,,,,,,,,,,175,,,,,,65,,,,,63394,68232
